"","Region.year","Region","Year","PC1","PC2","PC3","PC4","PC5"
"1","1.North_2010","1.North",2010,0.179036387981826,0.0531475440120568,-0.149143210552015,0.110541981874193,-0.0113927996868496
"2","1.North_2011","1.North",2011,0.154556568578638,0.413373920254624,-0.554520574393727,0.178507977908173,0.0892920896253134
"3","1.North_2012","1.North",2012,-0.166259138959347,-0.212501816062276,-0.200516274869725,0.177485174540101,0.153449854043058
"4","1.North_2013","1.North",2013,-0.457207379755852,0.370220120239403,0.297307229482043,0.468930558882913,0.0789701787598097
"5","1.North_2014","1.North",2014,-0.509272413539796,0.307564140088133,-0.203867329296638,-0.0595682977987542,-0.0165195125200034
"6","1.North_2015","1.North",2015,-0.117809271262544,0.0621114618087374,-0.288160134191229,0.241401025858945,0.134223983803313
"7","1.North_2016","1.North",2016,0.389395311624064,0.116636098026448,-0.174647047946583,0.0897807521645779,0.00945689367653599
"8","2.Center_2010","2.Center",2010,0.259480216002178,0.212038782457653,-0.599467661201308,0.0255554035016239,-0.169936479975828
"9","2.Center_2011","2.Center",2011,0.193149241374588,0.180123405863432,-0.66965927500154,-0.409121409311205,-0.170654075434281
"10","2.Center_2012","2.Center",2012,0.650604836981964,0.202181341927528,-0.66125447514669,-0.0552639971754306,-0.272788383498201
"11","2.Center_2013","2.Center",2013,0.0640505519791464,0.176926910759648,-0.753787078918707,0.0274652314591802,-0.241556400811979
"12","2.Center_2014","2.Center",2014,0.465226292452512,0.220525355140946,-0.855121168367475,-0.0303707187061223,-0.144802843190808
"13","2.Center_2015","2.Center",2015,2.09391870817104,-0.0883549013178834,-1.11357661292508,0.00328000140163243,-0.0922603482717057
"14","3.South_2011","3.South",2011,0.11518041248821,0.0839390577545513,-0.0445219278771814,-0.0714333845677094,0.210299742632694
"15","3.South_2012","3.South",2012,0.202127996766997,-0.103854025922285,-0.308566775166759,0.0413887108739942,0.301272701614412
"16","3.South_2013","3.South",2013,0.261540533919688,-0.128036649758094,0.0650691458151672,-0.0282548809503632,0.239775764393256
"17","3.South_2014","3.South",2014,-0.0617930727400454,0.260094181670791,-0.291362846868401,-0.0850299313908423,0.302914381202936
